Digitas Inc., 100
Interpublic Group of Companies Inc.,100
Publicis Inc., 100
Razorfish, 100
Starcom MediaVest Group, 100
MSLGROUP Americas, 95
Leo Burnett ,100
Ogilvy Group , 90
WPP Group USA,  80
Omnicom Group,  65
Valassis Communications , 65
Lockheed Martin, 100
Raytheon,100
Northrop Grumman,95
Rockwell Collins,90
Boeing,85
General Dynamics,85
Honeywell International,85
Texton,55
Alliant Techsystems,50
L-3 Communications Holdings,30
Precision Castparts,30
Goodrich Corp,0
American Airlines,100
United Airlines,100
Alaska Air Group Inc.,90
Delta Airlines,90
JetBlue Airways,90
Southwest Airlines,90
US Airways,90
Virgin America,90
Levi Strauss,100
Nike,100
Kenneth Cole,100
Macy's,90
Ralph Lauren,90
Aeropastale,75
Jones Group,70
L.L. Bean,65
Hanesbrands,60
PVH Corp., 60
H&M, 55
VF Corp, 15
Chrysler, 100
Ford Motor, 100
General Motors, 100
Toyota, 100
Volkswagen, 100
Subaru, 86
Nissan, 75
Visteon, 75
Bridgestone Americas Holding, 70
Hertz Global, 65
Dana Holding, 45
Navistar, 40
BorgWarner, 30
Johnson Controls, 30
Cooper Tire & Rubber, 25
Arvinmentor, 15
Autoliv, 15
AutoNation, 15
Goodyear Tire & Rubber, 15
Group 1 Automotive, 15
Paccar, 15
Sonic Automotive, 15
Tenneco, 15
Lear, 15
TRW Automotive, 10
Penske Automotive, 0
American Express, 100
Ameriprise Financial, 100
Bank of America, 100
Bank of New York, 100
Barclays, 100
BlackRock, 100
BMO Bankcorp, 100
BNP Paribas, 100
Capital One Financial, 100
Charles Schwab, 100
Credit Suisse, 100
Depository Trust & Clearing, 100
Deutsche Bank, 100
Federal Home Loan Mortgage Corp., 100
Goldman Sachs Group Inc., 100
HSBC, 100
JPMorgan Chase, 100
KeyCorp, 100 
Mastercard, 100
Moody's Corp., 100
Northern Trust Corp., 100
PNC Financial Services, 100
RBC Wealth Management, 100
SunTrust Bank, 100
TD Bank, 100
Teachers Insurance & Annuity, 100
Toyota Financial Services, 100
U.S. Bancorp, 100
UBS AG, 100
Wells Fargo, 100
Comerica, 95
CoreLogic, 90
Financial Industry Regulatory Authory, 90
Morningstar Inc., 90
Raymond James Financial, 90
Robert W. Baird, 90
State Street Corp., 90
Visa, 90
Fifth Third Bancorp, 90
First Horizon National Corp., 85
BB&T Corp, 80
Federal National Mortgage Association, 80
Fannie Mae, 80
Federal Reserve Bank, 80
RBS Securities, 75
RBS Citizens, 75
Canandian Imperial Bank of Commerce, 70
M&T Bank Corp., 70
Regions Financial Corp., 60
Compass Bancshares, 55
E*Trade Financial Corp, 55
Huntington Bancshares,50
Discover Financial Services, 45
NYSE Euronext Inc., 45
SLM Corp., 45
Chamerlin Edmonds & Associates, 40
Franklin Resources, 40
H&R Bock, 35
Fidelity National Financial Corp., 30
Western Union, 30
Dun & Bradstreet, 30
First Data, 30
Ally Financial, 15
Fidelity National Information  Services, 15
KRR & Co., 15
SunGard Data Systems, 15
CIT Group, 15
INT FCStone, 0
Dow Chemical, 100
Ecolab, 100
genetech, 100
Monsanto, 100
E.I. du Pont de Nemours, 95
Air Products & Chemicals, 90
BASF Corp., 90
Bayer Corp., 80
PPG Industries, 75
Praxair, 50
Huntsman, 40
Ashland Inc., 15
Avery Dennison, 15
Celanese Corp., 15
Eastman Chemical Co., 15
Lubrizol Corp, 15
Momentive Speciality Chemicals, 15
Sherwin-Williams, 15
Automatic Data Processing, 100
Broadridge Financial Solutions, 100
Hewlett-Package, 100
LexisNexis, 100
Computer Sciences Corp,85
Salesforce, 80
SRA International, 80
Unisys Corp, 40
Keane, 25
Cognizant, 15
SAIC Inc., 15
Apple, 100
Dell, 100
Lexmark, 100
Tech Data Corp., 100
Xerox, 100
CDW Corp., 90
NCR Corp., 90
NetApp Inc, 90
Ingram Micro, 75
Avnet Inc., 50
Seagate Technology, 45
Acer, 35
Western Digital, 35
Arrow Electronics, 15
United Stations, 15
Software House International, 15
Insight Enterprises, 0
SYNNEX Corp., 0
CA Inc., 100
Electronic Arts, 100
Intui, 100
Microsoft, 100
Oracle, 100
Symantec, 100
Adobe, 90
SAP America, 90
BMC Software, 80
Software AG USA, 70
Compuware Corp., 60
Allscripts-Misys Healthcare, 30
McAffee, 25
At. Kearney, 100
Accenture Ltd., 100
Aon corp., 100
Bain & Co., 100
Booz Allen Hamilton, 100
Boston Consulting Group, 100
Deloittle, 100
Ernst & Young, 100
International Business Machines, 100
KPMG, 100
Marsh & McLennan, 100
McKinsey, 100
Navigant, 100
PricewaterhouseCoopers, 100
Adecco, 90
Aramark, 90
Capgemini, 90
Grant Thorton, 90
Huron Consulting, 90
Nielson Co., 90
Robert Half, 85
Harris Interactive, 70
ManpowerGroup, 60
Sapient Corp, 45
Convergys Corp, 35
Kelly Services, 30
Bright Horizons Family Solutions, 90
Apollo group, 15
Exelon, 100
PG&E, 100
Sempra energy, 100
Southern California Edison Co., 100
Cosnolidated Edison Co., 100
Constelation energy group, 90
Duke Energy Corp., 90
Entergy corp., 90
National Grid USA, 90
Portland General Electric Co., 90
Ameren Corp., 85
Dominion Resources, 85
AMC Entertainment, 100
Comcast, 100
Sony Pictures, 100
Time Warner, 100
Disney, 100
CBS, 90
Cox Enterprises, 90
Viacom, 90
CC Media Holdings, 75
Clear Channel, 75
Live Nation, 70
Corbis Corp., 50
News Corp., 15
Brown-Forman Corp., 100
Cargill Inc., 100
Coca-Cola, 100
Darden Restaurants, 100
Delhaize America, 100
Diageo North America, 100
E&J Gallo Winery, 100
General Mills, 100
Kellogg, 100
Kraft Godos, 100
Millercoors, 100
Pepsi, 100
Sodexo, 100
Supervalu, 100
ConAgra, 95
Green Mountain Coffee, 96
Anhesuer-Busch, 90
Campbell Soup, 90
Hain Celestial Group, 90
Land O'Lakes, 90
Starbucks, 90
Hershey, 85
Hillshire brands, 85
Kroger,85
Hershey Park, 85
Safeway, 85
Bob Evans, 75
Chipotle Mexican Grill, 75
McDonald's, 75
US Foods, 75
Whole Foods, 75
Dr. Pepper, 70
Snapple, 70
Gastronomy Inc., 7
Yum! Brand, 70
Palm Management, 65
Brinker International, 60
H.J. Heinz, 60
Homel, 60
Mars Inc., 60
Rite Aid, 60
Ahold, 55
Burger King, 50
Compass Group USA, 50
Nestle, 45
Purina, 45
H.E. Butt Grocery Co., 40
ARcher Daniels Midland Co., 35
Cracker Barrel, 35
Domino's, 35
Nash Finch, 30
C&S Wholesale Grocers, 30
Dole Food, 30
Smithfield Foods, 15
Tyson Food, 15
Winn-Dixie, 15
CHS Inc., 0
SYSCO, 0
J.M. Smucker Co., 0
Great Atlantic & Pacific Tea, 0
Publix SuperMarket, 0
Seaboard Corp., 0
Aetna, 100
Blue Cross Blue Shield of Minnesota, 100
Mayo Clinic, 70
Quest Diagnostics, 65
Cisco, 100
Kodak, 100
Nokia, 100
Intel, 95
Agilent, 90
Texas Instruments, 85
St. Jude Medical,75
Thermo Fisher Scientific, 50
Caesar, 100
Choice Hotel, 100
Hyatt, 100
Kimpton, 100
MGM Resort, 100
Starwood Hotel, 100
Wyndham, 100
Wynn Resort, 100
Hilton, 90
InternContinental Hotel, 90
Marriott, 90
Carlson, 85
Host Hotel, 15
Las Vegas Sands, 0
eBay, 100
Google, 100
Yahoo, 100
Amazon, 90
AOL, 90
Classified Ventures, 90
Expedia, 80
Hanover Direct, 70
Liberty Interactive, 0
Sony, 90
Thomson Reuters, 100
Shell, 95
Chevron, 100
BP, 100
Exxon, -25
New York Times, 90
Pearson, 90
McGraw-Hill, 90
Hachette Book Group, 75
Houghton Miffin Harcourt, 75
UBM pic, 60
Gannett Co., 45
3M Co., 100
Abercrombie & Fitch, 100
Avon, 100
Barnes & Noble, 100
Best Buy, 100
clorox, 100
GameStop, 100
Gap Inc., 100
The Limited, 100
Limited Too, 100
Nordstrom, 100
Office depot, 100
Replacements, 100
S.C. Johson, 100
Sears, 100
Staples, 100
Target, 100
TJX Companies, 100
Unilever, 100
Walgreen, 100
Armani Exchange, 95
J.C. Penny, 95
Bon-Ton, 90
Costco, 90
Crate and Barrel, 90
Hallmark Cards, 90
OfficeMax, 90
Kimberly-Clark, 90
Procter & Gamble, 90
Recreational Equiptment, 90
Tiffany & Co., 90
CarMax, 85
Colgative-Palmolive,85
Estee Lauder, 85
Liz Claibourne, 85
Mattel, 85
Newell Rubbermaid, 85
Coach, 80
Home Depot, 75
PetSmart, 75
Toys 'R Us, 75
Harry & David Holdings, 70
Overstock.com, 70
Pep Boys, 65
Wal-Mart, 60
Burlington Coat factory, 65
Dollar general Corp., 45
BJ'S Wholesale Club, 35
Brown Shoe company, 35
Bath & Beyond, 30
Dillard, 30
Dollar Tree, 30
Pantry Inc, 30
RadioShack, 30
Men's Wearhouse, 30
Stanley Black, 25
Hasbro, 25
Big Lots, 15
Meier, 25
Dick's Sporting Goods, 15
Foot Locker, 14
Lowe's, 15
TravelCenters of America, 15
Autozone, 15
Kohl's, 15
Advance Auto Parts, 0
O'Reilly Automotive, 0
Ross Stores, 0
AT&T, 100
Sprint, 100
Time Warner Cable, 100
Verizon, 100
DIRECTV, 95
Motorola, 90
T-Mobile, 60
Orbitz, 100
Royal Carribean cruises, 90
Waste Management Inc., 90
